field,classification,present_count,unique_count,allowed_for_phi,leakage_risk,sample_values
derived.C_delta_mod15,derived_arithmetic,24,7,True,False,1|10|12|2|3|6|9
derived.C_delta_mod15_mod_2,derived_arithmetic,24,2,True,False,0|1
derived.C_delta_mod15_mod_3,derived_arithmetic,24,3,True,False,0|1|2
derived.C_delta_mod15_mod_4,derived_arithmetic,24,4,True,False,0|1|2|3
derived.C_delta_mod15_mod_5,derived_arithmetic,24,5,True,False,0|1|2|3|4
derived.C_delta_mod15_mod_6,derived_arithmetic,24,5,True,False,0|1|2|3|4
derived.C_transition,derived_arithmetic,24,12,True,False,0->2|1->10|10->13|11->2|13->1|14->11|2->14|2->4|2->5|4->5|5->0|5->2
derived.boundary_gap,derived_arithmetic,24,16,True,False,-1|-12|-2|-3|-36|-42|-48|-50|-51|-54|-55|-57|-9|11|13|9
derived.boundary_gap_sign,derived_arithmetic,24,2,True,False,neg|pos
derived.inside_captured,derived_arithmetic,24,2,True,False,no|yes
edge_index,order_leakage_risk,24,6,False,True,0|1|2|3|4|5
edge_role,source_provenance_candidate,24,6,True,False,IW|TI|WX|XY|YZ|ZT
fiber_delta_mod60,native_delta_or_transition,24,9,True,False,1|12|2|3|48|51|55|57|9
form_index,evaluation_or_label_risk,24,4,False,True,0|1|2|3
from_A,source_provenance_candidate,24,8,True,False,0|1|10|12|2|3|7|9
from_B,source_provenance_candidate,24,9,True,False,0|1|10|11|13|14|2|4|5
from_C,source_provenance_candidate,24,9,True,False,0|1|10|11|13|14|2|4|5
from_columns.__len,source_provenance_candidate,24,1,True,False,2
from_columns.__max,source_provenance_candidate,24,10,True,False,10|12|17|18|2|24|29|4|5|9
from_columns.__min,source_provenance_candidate,24,8,True,False,0|13|2|23|28|4|7|8
from_columns.__range,source_provenance_candidate,24,7,True,False,1|10|15|2|3|4|5
from_columns.__set,source_provenance_candidate,24,11,True,False,0|2|0|4|13|17|23|24|28|29|2|17|4|5|4|9|7|10|7|12|8|18
from_columns.__sum,source_provenance_candidate,24,10,True,False,13|17|19|2|26|30|4|47|57|9
from_fiber,source_provenance_candidate,24,9,True,False,0|1|10|11|13|14|2|4|5
from_key,source_provenance_candidate,24,22,True,False,"0|10|5|2,17|0|1|2|0,4|10|0|1|0,2|10|9|13|28,29|11|1|2|4,5|11|7|14|23,24|13|2|1|4,9|13|9|10|28,29|14|3|2|7,12|14|7|11|23,24|1|0|10|0,2|1|2|13|4,9|2|12|5|8,18|2|1|0|0,4|2|1|11|4,5|2|3|14|7,12|2|3|4|7,10|4|10|5|13,17|4|3|2|7,10|5|10|0|2,17"
from_slot,source_provenance_candidate,24,9,True,False,0|1|10|11|13|14|2|4|5
label,evaluation_or_label_risk,24,2,False,True,reverse_partner|shared_B
slot_delta_mod15,native_delta_or_transition,24,8,True,False,0|12|13|14|3|5|6|9
to_A,source_provenance_candidate,24,8,True,False,0|1|10|12|2|3|7|9
to_B,source_provenance_candidate,24,9,True,False,0|1|10|11|13|14|2|4|5
to_C,source_provenance_candidate,24,9,True,False,0|1|10|11|13|14|2|4|5
to_columns.__len,source_provenance_candidate,24,1,True,False,2
to_columns.__max,source_provenance_candidate,24,10,True,False,10|12|17|18|2|24|29|4|5|9
to_columns.__min,source_provenance_candidate,24,8,True,False,0|13|2|23|28|4|7|8
to_columns.__range,source_provenance_candidate,24,7,True,False,1|10|15|2|3|4|5
to_columns.__set,source_provenance_candidate,24,11,True,False,0|2|0|4|13|17|23|24|28|29|2|17|4|5|4|9|7|10|7|12|8|18
to_columns.__sum,source_provenance_candidate,24,10,True,False,13|17|19|2|26|30|4|47|57|9
to_fiber,source_provenance_candidate,24,9,True,False,0|1|10|11|13|14|2|4|5
to_key,source_provenance_candidate,24,22,True,False,"0|10|5|2,17|0|1|2|0,4|10|0|1|0,2|10|9|13|28,29|11|1|2|4,5|11|7|14|23,24|13|2|1|4,9|13|9|10|28,29|14|3|2|7,12|14|7|11|23,24|1|0|10|0,2|1|2|13|4,9|2|12|5|8,18|2|1|0|0,4|2|1|11|4,5|2|3|14|7,12|2|3|4|7,10|4|10|5|13,17|4|3|2|7,10|5|10|0|2,17"
to_slot,source_provenance_candidate,24,9,True,False,0|1|10|11|13|14|2|4|5
