ledger_row_id,component_id,edge_role,slot_delta_mod15,fiber_delta_mod60,inside_captured_native,phi_level,form_index_for_evaluation_only,match
0,0,WX,3,57,False,edge,0,True
1,0,XY,0,51,False,edge,0,True
2,0,YZ,3,12,False,edge,0,True
3,0,ZT,0,57,False,edge,0,True
4,0,TI,9,51,False,edge,0,True
5,0,IW,0,12,False,edge,0,True
6,1,WX,12,3,True,hinge,1,True
7,1,XY,0,48,False,hinge,1,True
8,1,YZ,6,9,False,hinge,1,True
9,1,ZT,0,3,False,hinge,1,True
10,1,TI,12,48,False,hinge,1,True
11,1,IW,0,9,False,hinge,1,True
12,2,WX,13,2,True,unknown,2,False
13,2,XY,0,3,False,unknown,2,False
14,2,YZ,5,55,False,unknown,2,False
15,2,ZT,0,2,False,unknown,2,False
16,2,TI,12,3,True,unknown,2,False
17,2,IW,0,55,False,unknown,2,False
18,2,WX,13,2,True,unknown,3,False
19,2,XY,0,1,False,unknown,3,False
20,2,YZ,3,57,False,unknown,3,False
21,2,ZT,0,2,False,unknown,3,False
22,2,TI,14,1,True,unknown,3,False
23,2,IW,0,57,False,unknown,3,False
