permutation,ok,ambiguity_count,broken_count,cycle_count,cycle_sizes_are_6,role_order_ok_all,phi_map_matches_baseline,cycle_sets_match_baseline,all_rows_match_form_index_for_evaluation_only
original,True,0,0,4,True,True,True,True,True
reverse,True,0,0,4,True,True,True,True,True
sort_by_role,True,0,0,4,True,True,True,True,True
sort_by_fiber,True,0,0,4,True,True,True,True,True
sort_by_from_C,True,0,0,4,True,True,True,True,True
sort_by_to_C,True,0,0,4,True,True,True,True,True
shuffle_seed_0,True,0,0,4,True,True,True,True,True
shuffle_seed_1,True,0,0,4,True,True,True,True,True
shuffle_seed_2,True,0,0,4,True,True,True,True,True
shuffle_seed_3,True,0,0,4,True,True,True,True,True
shuffle_seed_4,True,0,0,4,True,True,True,True,True
shuffle_seed_5,True,0,0,4,True,True,True,True,True
shuffle_seed_6,True,0,0,4,True,True,True,True,True
shuffle_seed_7,True,0,0,4,True,True,True,True,True
shuffle_seed_8,True,0,0,4,True,True,True,True,True
shuffle_seed_9,True,0,0,4,True,True,True,True,True
shuffle_seed_10,True,0,0,4,True,True,True,True,True
shuffle_seed_11,True,0,0,4,True,True,True,True,True
shuffle_seed_12,True,0,0,4,True,True,True,True,True
shuffle_seed_13,True,0,0,4,True,True,True,True,True
shuffle_seed_14,True,0,0,4,True,True,True,True,True
shuffle_seed_15,True,0,0,4,True,True,True,True,True
shuffle_seed_16,True,0,0,4,True,True,True,True,True
shuffle_seed_17,True,0,0,4,True,True,True,True,True
shuffle_seed_18,True,0,0,4,True,True,True,True,True
shuffle_seed_19,True,0,0,4,True,True,True,True,True
