transition_key,phi_level
"{""edge_role"":""IW"",""fiber_delta_mod60"":12,""from_ABC"":[1,11,2],""slot_delta_mod15"":0,""to_ABC"":[7,11,14]}",edge
"{""edge_role"":""IW"",""fiber_delta_mod60"":55,""from_ABC"":[12,2,5],""slot_delta_mod15"":0,""to_ABC"":[1,2,0]}",closed_face
"{""edge_role"":""IW"",""fiber_delta_mod60"":57,""from_ABC"":[10,4,5],""slot_delta_mod15"":0,""to_ABC"":[3,4,2]}",filled_cell
"{""edge_role"":""IW"",""fiber_delta_mod60"":9,""from_ABC"":[2,13,1],""slot_delta_mod15"":0,""to_ABC"":[9,13,10]}",hinge
"{""edge_role"":""TI"",""fiber_delta_mod60"":1,""from_ABC"":[10,5,4],""slot_delta_mod15"":14,""to_ABC"":[10,4,5]}",filled_cell
"{""edge_role"":""TI"",""fiber_delta_mod60"":3,""from_ABC"":[12,5,2],""slot_delta_mod15"":12,""to_ABC"":[12,2,5]}",closed_face
"{""edge_role"":""TI"",""fiber_delta_mod60"":48,""from_ABC"":[2,1,13],""slot_delta_mod15"":12,""to_ABC"":[2,13,1]}",hinge
"{""edge_role"":""TI"",""fiber_delta_mod60"":51,""from_ABC"":[1,2,11],""slot_delta_mod15"":9,""to_ABC"":[1,11,2]}",edge
"{""edge_role"":""WX"",""fiber_delta_mod60"":2,""from_ABC"":[1,2,0],""slot_delta_mod15"":13,""to_ABC"":[1,0,2]}",closed_face
"{""edge_role"":""WX"",""fiber_delta_mod60"":2,""from_ABC"":[3,4,2],""slot_delta_mod15"":13,""to_ABC"":[3,2,4]}",filled_cell
"{""edge_role"":""WX"",""fiber_delta_mod60"":3,""from_ABC"":[9,13,10],""slot_delta_mod15"":12,""to_ABC"":[9,10,13]}",hinge
"{""edge_role"":""WX"",""fiber_delta_mod60"":57,""from_ABC"":[7,11,14],""slot_delta_mod15"":3,""to_ABC"":[7,14,11]}",edge
"{""edge_role"":""XY"",""fiber_delta_mod60"":1,""from_ABC"":[3,2,4],""slot_delta_mod15"":0,""to_ABC"":[12,2,5]}",filled_cell
"{""edge_role"":""XY"",""fiber_delta_mod60"":3,""from_ABC"":[1,0,2],""slot_delta_mod15"":0,""to_ABC"":[10,0,5]}",closed_face
"{""edge_role"":""XY"",""fiber_delta_mod60"":48,""from_ABC"":[9,10,13],""slot_delta_mod15"":0,""to_ABC"":[0,10,1]}",hinge
"{""edge_role"":""XY"",""fiber_delta_mod60"":51,""from_ABC"":[7,14,11],""slot_delta_mod15"":0,""to_ABC"":[3,14,2]}",edge
"{""edge_role"":""YZ"",""fiber_delta_mod60"":12,""from_ABC"":[3,14,2],""slot_delta_mod15"":3,""to_ABC"":[3,2,14]}",edge
"{""edge_role"":""YZ"",""fiber_delta_mod60"":55,""from_ABC"":[10,0,5],""slot_delta_mod15"":5,""to_ABC"":[10,5,0]}",closed_face
"{""edge_role"":""YZ"",""fiber_delta_mod60"":57,""from_ABC"":[12,2,5],""slot_delta_mod15"":3,""to_ABC"":[12,5,2]}",filled_cell
"{""edge_role"":""YZ"",""fiber_delta_mod60"":9,""from_ABC"":[0,10,1],""slot_delta_mod15"":6,""to_ABC"":[0,1,10]}",hinge
"{""edge_role"":""ZT"",""fiber_delta_mod60"":2,""from_ABC"":[10,5,0],""slot_delta_mod15"":0,""to_ABC"":[12,5,2]}",closed_face
"{""edge_role"":""ZT"",""fiber_delta_mod60"":2,""from_ABC"":[12,5,2],""slot_delta_mod15"":0,""to_ABC"":[10,5,4]}",filled_cell
"{""edge_role"":""ZT"",""fiber_delta_mod60"":3,""from_ABC"":[0,1,10],""slot_delta_mod15"":0,""to_ABC"":[2,1,13]}",hinge
"{""edge_role"":""ZT"",""fiber_delta_mod60"":57,""from_ABC"":[3,2,14],""slot_delta_mod15"":0,""to_ABC"":[1,2,11]}",edge
