edge_role,from_A,from_B,from_C,to_A,to_B,to_C,slot_delta_mod15,fiber_delta_mod60
WX,7,11,14,7,14,11,3,57
XY,7,14,11,3,14,2,0,51
YZ,3,14,2,3,2,14,3,12
ZT,3,2,14,1,2,11,0,57
TI,1,2,11,1,11,2,9,51
IW,1,11,2,7,11,14,0,12
WX,9,13,10,9,10,13,12,3
XY,9,10,13,0,10,1,0,48
YZ,0,10,1,0,1,10,6,9
ZT,0,1,10,2,1,13,0,3
TI,2,1,13,2,13,1,12,48
IW,2,13,1,9,13,10,0,9
WX,1,2,0,1,0,2,13,2
XY,1,0,2,10,0,5,0,3
YZ,10,0,5,10,5,0,5,55
ZT,10,5,0,12,5,2,0,2
TI,12,5,2,12,2,5,12,3
IW,12,2,5,1,2,0,0,55
WX,3,4,2,3,2,4,13,2
XY,3,2,4,12,2,5,0,1
YZ,12,2,5,12,5,2,3,57
ZT,12,5,2,10,5,4,0,2
TI,10,5,4,10,4,5,14,1
IW,10,4,5,3,4,2,0,57
