path,list_count,dict_item_count,phi_field_hit_count,phi_field_hits,risk_field_hits,complete_phi_record_count,target_signature_match_count
$.edge_records,24,24,9,edge_role|fiber_delta_mod60|from_A|from_B|from_C|slot_delta_mod15|to_A|to_B|to_C,form_index,24,24
$.candidate_results,10,10,0,,,0,0
$.checks,8,8,0,,,0,0
$.boundary,4,0,0,,,0,0
$.checks[3].detail,0,0,0,,,0,0
$.checks[6].detail,10,0,0,,,0,0
$.edge_records[0].from_columns,2,0,0,,,0,0
$.edge_records[0].to_columns,2,0,0,,,0,0
$.edge_records[10].from_columns,2,0,0,,,0,0
$.edge_records[10].to_columns,2,0,0,,,0,0
$.edge_records[11].from_columns,2,0,0,,,0,0
$.edge_records[11].to_columns,2,0,0,,,0,0
$.edge_records[12].from_columns,2,0,0,,,0,0
$.edge_records[12].to_columns,2,0,0,,,0,0
$.edge_records[13].from_columns,2,0,0,,,0,0
$.edge_records[13].to_columns,2,0,0,,,0,0
$.edge_records[14].from_columns,2,0,0,,,0,0
$.edge_records[14].to_columns,2,0,0,,,0,0
$.edge_records[15].from_columns,2,0,0,,,0,0
$.edge_records[15].to_columns,2,0,0,,,0,0
$.edge_records[16].from_columns,2,0,0,,,0,0
$.edge_records[16].to_columns,2,0,0,,,0,0
$.edge_records[17].from_columns,2,0,0,,,0,0
$.edge_records[17].to_columns,2,0,0,,,0,0
$.edge_records[18].from_columns,2,0,0,,,0,0
$.edge_records[18].to_columns,2,0,0,,,0,0
$.edge_records[19].from_columns,2,0,0,,,0,0
$.edge_records[19].to_columns,2,0,0,,,0,0
$.edge_records[1].from_columns,2,0,0,,,0,0
$.edge_records[1].to_columns,2,0,0,,,0,0
$.edge_records[20].from_columns,2,0,0,,,0,0
$.edge_records[20].to_columns,2,0,0,,,0,0
$.edge_records[21].from_columns,2,0,0,,,0,0
$.edge_records[21].to_columns,2,0,0,,,0,0
$.edge_records[22].from_columns,2,0,0,,,0,0
$.edge_records[22].to_columns,2,0,0,,,0,0
$.edge_records[23].from_columns,2,0,0,,,0,0
$.edge_records[23].to_columns,2,0,0,,,0,0
$.edge_records[2].from_columns,2,0,0,,,0,0
$.edge_records[2].to_columns,2,0,0,,,0,0
$.edge_records[3].from_columns,2,0,0,,,0,0
$.edge_records[3].to_columns,2,0,0,,,0,0
$.edge_records[4].from_columns,2,0,0,,,0,0
$.edge_records[4].to_columns,2,0,0,,,0,0
$.edge_records[5].from_columns,2,0,0,,,0,0
$.edge_records[5].to_columns,2,0,0,,,0,0
$.edge_records[6].from_columns,2,0,0,,,0,0
$.edge_records[6].to_columns,2,0,0,,,0,0
$.edge_records[7].from_columns,2,0,0,,,0,0
$.edge_records[7].to_columns,2,0,0,,,0,0
$.edge_records[8].from_columns,2,0,0,,,0,0
$.edge_records[8].to_columns,2,0,0,,,0,0
$.edge_records[9].from_columns,2,0,0,,,0,0
$.edge_records[9].to_columns,2,0,0,,,0,0
$.missing_endpoint,0,0,0,,,0,0
$.summary.candidate_names,10,0,0,,,0,0
$.two_map_exact_hits,0,0,0,,,0,0
